SYMBOL
ITC.NS
TCS.NS
TRENT.NS
TATACONSUM.NS
ADANIENT.NS
HEROMOTOCO.NS
ONGC.NS
INDUSINDBK.NS
LT.NS
KOTAKBANK.NS
BRITANNIA.NS
NESTLEIND.NS
HINDALCO.NS
BHARTIARTL.NS
BAJAJFINSV.NS
BAJAJ-AUTO.NS
BAJFINANCE.NS
WIPRO.NS
COALINDIA.NS
TATASTEEL.NS
RELIANCE.NS
MARUTI.NS
NTPC.NS
CIPLA.NS
TITAN.NS
SHRIRAMFIN.NS
HDFCLIFE.NS
APOLLOHOSP.NS
ULTRACEMCO.NS
