Date,TATAMOTORS.NS,EICHERMOT.NS
2023-12-04,705.5999755859375,4180.35009765625
2023-12-05,708.9500122070312,4136.5
2023-12-06,722.4500122070312,4047.0
2023-12-07,721.9500122070312,4091.0
2023-12-08,714.5499877929688,4055.0
2023-12-11,720.7999877929688,4025.64990234375
2023-12-12,715.4000244140625,3951.75
2023-12-13,720.2999877929688,4032.75
2023-12-14,719.75,4086.14990234375
2023-12-15,732.4000244140625,4059.89990234375
2023-12-18,730.7999877929688,4085.5
2023-12-19,728.9500122070312,4039.64990234375
2023-12-20,705.25,3912.39990234375
2023-12-21,708.8499755859375,3957.949951171875
2023-12-22,724.7000122070312,4006.050048828125
2023-12-26,719.5499877929688,4040.39990234375
2023-12-27,740.9000244140625,4120.0
2023-12-28,753.9000244140625,4091.89990234375
2023-12-29,779.9500122070312,4143.5
2024-01-01,790.5999755859375,4038.35009765625
2024-01-02,784.4000244140625,3892.5
2024-01-03,781.4500122070312,3887.60009765625
2024-01-04,795.75,3861.0
2024-01-05,790.9500122070312,3877.050048828125
2024-01-08,789.0999755859375,3884.25
2024-01-09,799.7999877929688,3870.449951171875
2024-01-10,808.4500122070312,3842.550048828125
2024-01-11,815.6500244140625,3888.800048828125
2024-01-12,816.4500122070312,3870.85009765625
2024-01-15,812.4500122070312,3832.10009765625
2024-01-16,818.8499755859375,3792.300048828125
2024-01-17,805.5499877929688,3751.10009765625
2024-01-18,819.0499877929688,3691.14990234375
2024-01-19,823.5499877929688,3699.449951171875
2024-01-23,800.4500122070312,3616.699951171875
2024-01-24,810.9000244140625,3635.0
2024-01-25,811.8499755859375,3616.449951171875
2024-01-29,841.0,3669.050048828125
2024-01-30,858.8499755859375,3704.75
2024-01-31,884.2000122070312,3839.60009765625
2024-02-01,878.5,3933.199951171875
2024-02-02,878.75,3825.550048828125
2024-02-05,926.7999877929688,3889.949951171875
2024-02-06,939.5499877929688,3944.60009765625
2024-02-07,933.7999877929688,3927.64990234375
2024-02-08,924.2999877929688,3807.300048828125
2024-02-09,915.0,3840.949951171875
2024-02-12,911.5999755859375,3871.85009765625
2024-02-13,906.9000244140625,3854.199951171875
2024-02-14,918.2999877929688,3901.550048828125
2024-02-15,920.5499877929688,3916.550048828125
2024-02-16,938.5999755859375,3928.64990234375
2024-02-19,932.5999755859375,3902.85009765625
2024-02-20,926.3499755859375,3828.10009765625
2024-02-21,921.0499877929688,3836.35009765625
2024-02-22,932.2999877929688,3951.39990234375
2024-02-23,937.4000244140625,3927.050048828125
2024-02-26,936.9500122070312,3952.949951171875
2024-02-27,962.7000122070312,4002.75
2024-02-28,958.0499877929688,3863.75
2024-02-29,950.2000122070312,3792.39990234375
2024-03-01,977.4000244140625,3843.550048828125
2024-03-04,987.2000122070312,3751.449951171875
2024-03-05,1021.9000244140625,3791.89990234375
2024-03-06,1017.6500244140625,3793.199951171875
2024-03-07,1039.300048828125,3785.25
2024-03-11,1028.0,3783.89990234375
2024-03-12,1016.5,3810.75
2024-03-13,973.2000122070312,3735.550048828125
2024-03-14,967.75,3772.64990234375
2024-03-15,945.8499755859375,3745.64990234375
2024-03-18,972.4500122070312,3699.699951171875
2024-03-19,957.75,3716.85009765625
2024-03-20,940.4500122070312,3873.60009765625
2024-03-21,964.9000244140625,3918.949951171875
2024-03-22,979.7999877929688,3988.39990234375
2024-03-26,986.2000122070312,3911.10009765625
2024-03-27,978.6500244140625,3913.800048828125
2024-03-28,992.7999877929688,4019.300048828125
2024-04-01,992.25,3946.64990234375
2024-04-02,1004.6500244140625,3922.199951171875
2024-04-03,1009.1500244140625,3934.199951171875
2024-04-04,1011.5999755859375,4014.300048828125
2024-04-05,1007.0999755859375,4031.25
2024-04-08,1013.2000122070312,4205.75
2024-04-09,1008.5,4248.64990234375
2024-04-10,1013.5,4315.10009765625
2024-04-12,1018.5,4302.25
2024-04-15,998.7999877929688,4219.35009765625
2024-04-16,992.7999877929688,4355.7001953125
2024-04-18,971.3499755859375,4351.2001953125
2024-04-19,963.2000122070312,4344.14990234375
2024-04-22,973.5499877929688,4466.9501953125
2024-04-23,986.75,4520.14990234375
2024-04-24,991.6500244140625,4530.7001953125
2024-04-25,1001.25,4615.2001953125
2024-04-26,999.5,4601.0
2024-04-29,1000.5999755859375,4571.85009765625
2024-04-30,1007.9000244140625,4597.39990234375
2024-05-02,1027.800048828125,4602.39990234375
2024-05-03,1013.4000244140625,4599.25
2024-05-06,1016.2000122070312,4599.0
2024-05-07,988.5499877929688,4622.39990234375
2024-05-08,1012.0999755859375,4600.10009765625
2024-05-09,1030.300048828125,4568.0498046875
2024-05-10,1046.6500244140625,4657.85009765625
2024-05-13,959.75,4657.4501953125
2024-05-14,964.6500244140625,4730.5498046875
2024-05-15,947.2999877929688,4649.35009765625
2024-05-16,936.4000244140625,4681.75
2024-05-17,945.7000122070312,4693.89990234375
2024-05-21,951.2999877929688,4672.9501953125
2024-05-22,947.5,4695.4501953125
2024-05-23,962.3499755859375,4852.85009765625
2024-05-24,960.5499877929688,4880.9501953125
2024-05-27,958.5,4793.2998046875
2024-05-28,947.5499877929688,4770.9501953125
2024-05-29,943.5999755859375,4745.39990234375
2024-05-30,923.9500122070312,4742.9501953125
2024-05-31,923.0,4733.4501953125
2024-06-03,950.4500122070312,4670.85009765625
2024-06-04,903.9000244140625,4495.39990234375
2024-06-05,929.9500122070312,4579.0
2024-06-06,938.25,4719.75
2024-06-07,970.5,4762.0
2024-06-10,975.1500244140625,4782.75
2024-06-11,987.0999755859375,4758.64990234375
