Date,Adj Close,Close,High,Low,Open,Volume,RSI,Signal
2023-12-04,20686.80078125,20686.80078125,20702.650390625,20507.75,20601.94921875,381100,,0
2023-12-05,20855.099609375,20855.099609375,20864.05078125,20711.150390625,20808.900390625,421000,,0
2023-12-06,20937.69921875,20937.69921875,20961.94921875,20852.150390625,20950.75,359200,,0
2023-12-07,20901.150390625,20901.150390625,20941.25,20850.80078125,20932.400390625,275000,,0
2023-12-08,20969.400390625,20969.400390625,21006.099609375,20862.69921875,20934.099609375,292400,,0
2023-12-11,20997.099609375,20997.099609375,21026.099609375,20923.69921875,20965.30078125,212900,,0
2023-12-12,20906.400390625,20906.400390625,21037.900390625,20867.150390625,21018.55078125,244900,,0
2023-12-13,20926.349609375,20926.349609375,20950.0,20769.5,20929.75,260300,,0
2023-12-14,21182.69921875,21182.69921875,21210.900390625,21074.44921875,21110.400390625,334400,,0
2023-12-15,21456.650390625,21456.650390625,21492.30078125,21235.30078125,21287.44921875,508800,,0
2023-12-18,21418.650390625,21418.650390625,21482.80078125,21365.349609375,21434.80078125,249700,,0
2023-12-19,21453.099609375,21453.099609375,21505.05078125,21337.75,21477.650390625,249800,,0
2023-12-20,21150.150390625,21150.150390625,21593.0,21087.349609375,21543.5,363900,,0
2023-12-21,21255.05078125,21255.05078125,21288.349609375,20976.80078125,21033.94921875,277500,68.8831975991007,0
2023-12-22,21349.400390625,21349.400390625,21390.5,21232.44921875,21295.849609375,284700,70.71926320868221,1
2023-12-26,21441.349609375,21441.349609375,21477.150390625,21329.44921875,21365.19921875,219500,69.25104605730675,0
2023-12-27,21654.75,21654.75,21675.75,21495.80078125,21497.650390625,256500,71.68353485383267,1
2023-12-28,21778.69921875,21778.69921875,21801.44921875,21678.0,21715.0,393100,75.20466996442327,1
2023-12-29,21731.400390625,21731.400390625,21770.30078125,21676.900390625,21737.650390625,270900,72.15252116204437,1
2024-01-01,21741.900390625,21741.900390625,21834.349609375,21680.849609375,21727.75,154000,71.87122897978848,1
2024-01-02,21665.80078125,21665.80078125,21755.599609375,21555.650390625,21751.349609375,263700,72.49281214386126,1
2024-01-03,21517.349609375,21517.349609375,21677.0,21500.349609375,21661.099609375,311900,66.26667297424572,0
2024-01-04,21658.599609375,21658.599609375,21685.650390625,21564.55078125,21605.80078125,339200,63.98474689697842,0
2024-01-05,21710.80078125,21710.80078125,21749.599609375,21629.19921875,21705.75,309300,58.5876237904732,0
2024-01-08,21513.0,21513.0,21763.94921875,21492.900390625,21747.599609375,231500,52.87730404110316,0
2024-01-09,21544.849609375,21544.849609375,21724.44921875,21517.849609375,21653.599609375,228600,52.80246934202583,0
2024-01-10,21618.69921875,21618.69921875,21641.849609375,21448.650390625,21529.30078125,217000,66.6405852231975,0
2024-01-11,21647.19921875,21647.19921875,21726.5,21593.75,21688.0,212500,64.72637604114408,0
2024-01-12,21894.55078125,21894.55078125,21928.25,21715.150390625,21773.55078125,294700,68.3620182648522,0
2024-01-15,22097.44921875,22097.44921875,22115.55078125,21963.55078125,22053.150390625,345500,70.5622241673757,1
2024-01-16,22032.30078125,22032.30078125,22124.150390625,21969.80078125,22080.5,292400,63.04464599022863,0
2024-01-17,21571.94921875,21571.94921875,21851.5,21550.44921875,21647.25,456000,44.203977756800974,0
2024-01-18,21462.25,21462.25,21539.400390625,21285.55078125,21414.19921875,387300,42.709709912001244,0
2024-01-19,21622.400390625,21622.400390625,21670.599609375,21575.0,21615.19921875,343100,47.00591535290503,0
2024-01-23,21238.80078125,21238.80078125,21750.25,21192.599609375,21716.69921875,449700,40.72989209523842,0
2024-01-24,21453.94921875,21453.94921875,21482.349609375,21137.19921875,21185.25,407500,48.662325470994446,0
2024-01-25,21352.599609375,21352.599609375,21459.0,21247.05078125,21454.599609375,418100,43.43319015380901,0
2024-01-29,21737.599609375,21737.599609375,21763.25,21429.599609375,21433.099609375,376700,50.50322709364989,0
2024-01-30,21522.099609375,21522.099609375,21813.05078125,21501.80078125,21775.75,375100,50.16974371940952,0
2024-01-31,21725.69921875,21725.69921875,21741.349609375,21448.849609375,21487.25,410600,53.17041236075626,0
2024-02-01,21697.44921875,21697.44921875,21832.94921875,21658.75,21780.650390625,332500,51.40296961902695,0
2024-02-02,21853.80078125,21853.80078125,22126.80078125,21805.55078125,21812.75,442800,53.52033929441459,0
2024-02-05,21771.69921875,21771.69921875,21964.30078125,21726.94921875,21921.05078125,440800,47.781780838536214,0
2024-02-06,21929.400390625,21929.400390625,21951.400390625,21737.55078125,21825.19921875,371000,46.91534800880213,0
2024-02-07,21930.5,21930.5,22053.30078125,21860.150390625,22045.05078125,346300,48.086381225814506,0
2024-02-08,21717.94921875,21717.94921875,22011.05078125,21665.30078125,22009.650390625,491100,53.02640656326012,0
2024-02-09,21782.5,21782.5,21804.44921875,21629.900390625,21727.0,349200,56.7650262402218,0
2024-02-12,21616.05078125,21616.05078125,21831.69921875,21574.75,21800.80078125,287400,49.86622555252427,0
2024-02-13,21743.25,21743.25,21766.80078125,21543.349609375,21664.30078125,365800,61.9150824669597,0
2024-02-14,21840.05078125,21840.05078125,21870.849609375,21530.19921875,21578.150390625,359100,59.659765019536096,0
2024-02-15,21910.75,21910.75,21953.849609375,21794.80078125,21906.55078125,345400,64.18170575688731,0
2024-02-16,22040.69921875,22040.69921875,22068.650390625,21968.94921875,22020.30078125,343900,58.84805947853653,0
2024-02-19,22122.25,22122.25,22186.650390625,22021.05078125,22103.44921875,0,69.0058920819968,0
2024-02-20,22196.94921875,22196.94921875,22215.599609375,22045.849609375,22099.19921875,295700,66.25052534025883,0
2024-02-21,22055.05078125,22055.05078125,22249.400390625,21997.94921875,22248.849609375,364500,61.43518819232441,0
2024-02-22,22217.44921875,22217.44921875,22252.5,21875.25,22081.55078125,343500,61.583754323967845,0
2024-02-23,22212.69921875,22212.69921875,22297.5,22186.099609375,22290.0,226000,64.77588030196739,0
2024-02-26,22122.05078125,22122.05078125,22202.150390625,22075.150390625,22169.19921875,207800,56.75850491623557,0
2024-02-27,22198.349609375,22198.349609375,22218.25,22085.650390625,22090.19921875,252200,58.92568212260178,0
2024-02-28,21951.150390625,21951.150390625,22229.150390625,21915.849609375,22214.099609375,203000,57.59567513648792,0
2024-02-29,21982.80078125,21982.80078125,22060.55078125,21860.650390625,21935.19921875,360200,56.666952707112785,0
2024-03-01,22338.75,22338.75,22353.30078125,22047.75,22048.30078125,351500,71.36025566128575,1
2024-03-04,22405.599609375,22405.599609375,22440.900390625,22358.30078125,22403.5,298800,70.30076133167793,1
2024-03-05,22356.30078125,22356.30078125,22416.900390625,22269.150390625,22371.25,296200,66.29741801348088,0
2024-03-06,22474.05078125,22474.05078125,22497.19921875,22224.349609375,22327.5,312300,67.26972896327734,0
2024-03-07,22493.55078125,22493.55078125,22525.650390625,22430.0,22505.30078125,379900,64.89210832586137,0
2024-03-11,22332.650390625,22332.650390625,22526.599609375,22307.25,22517.5,277900,56.57587111597829,0
2024-03-12,22335.69921875,22335.69921875,22452.55078125,22256.0,22334.44921875,299200,54.539830881074835,0
2024-03-13,21997.69921875,21997.69921875,22446.75,21905.650390625,22432.19921875,493300,48.336905252760495,0
2024-03-14,22146.650390625,22146.650390625,22204.599609375,21917.5,21982.55078125,426700,47.930820719078184,0
2024-03-15,22023.349609375,22023.349609375,22120.900390625,21931.69921875,22064.849609375,661500,44.82466301881756,0
